_id,distance,pace.hours,pace.minutes,pace.seconds,points,time.hours,time.minutes,time.seconds,user_id,createdAt,type
629f648af520a5786df7300c,0.02,0,27,3,4,0,6,29,629d1ee27316fa52d753d8d3,2022-06-07T14:45:31.008Z,walk-run
629f648bf520a5786df7301a,0,0,0,0,0,0,0,8,62014e8fa8bd46a429c5109a,2022-06-07T14:45:31.474Z,walk-run
629f6511f520a5786df73064,1.73,0,23,10,346,0,40,23,629e3b197316fa52d7541423,2022-06-07T14:47:46.029Z,walk-run
629f6534f520a5786df73075,0.25,0,16,15,50,0,4,17,628e86c07352b8e67bcc3115,2022-06-07T14:48:20.145Z,walk-run
629f65b3f520a5786df730b5,0.27,0,11,44,54,0,3,5,629d0f677316fa52d753d232,2022-06-07T14:50:27.488Z,walk-run
629f6649f520a5786df730ff,1.42,0,17,32,284,0,23,38,629f5bd2f520a5786df72d4d,2022-06-07T14:52:57.996Z,walk-run
629f664ff520a5786df73110,1.42,0,17,32,284,0,23,38,629f5bd2f520a5786df72d4d,2022-06-07T14:53:03.820Z,walk-run
629f66bcf520a5786df7315c,0.01,0,52,49,2,1,45,23,62018df2a8bd46a429c51230,2022-06-07T14:54:52.891Z,walk-run
629f66d4f520a5786df7316f,0.56,0,16,26,112,0,9,18,62014e8fa8bd46a429c5109a,2022-06-07T14:55:16.197Z,walk-run
629f67acf520a5786df7317c,1.9,0,6,4,380,0,11,39,629f49e8b99ec9543c40c180,2022-06-07T14:58:52.728Z,walk-run
629f680ff520a5786df7318f,0.67,0,12,49,134,0,7,54,629b72ed7316fa52d75395f6,2022-06-07T15:00:31.322Z,walk-run
629f680ff520a5786df7319d,0.64,0,11,8,128,0,7,12,629b72ed7316fa52d75395f6,2022-06-07T15:00:31.444Z,walk-run
629f6834f520a5786df731bc,0,0,0,0,0,0,0,2,629d0f677316fa52d753d232,2022-06-07T15:01:08.763Z,walk-run
629f6886f520a5786df731e1,0.73,0,23,19,146,0,17,7,629737ae7316fa52d7533373,2022-06-07T15:02:30.329Z,walk-run
629f6898f520a5786df73205,0.72,0,23,28,144,0,17,0,6297388c7316fa52d75333bf,2022-06-07T15:02:48.518Z,walk-run
629f68aaf520a5786df7321e,0.92,0,19,47,184,0,17,23,629739b37316fa52d75333df,2022-06-07T15:03:06.967Z,walk-run
629f68e9f520a5786df73242,0.13,0,22,43,26,0,2,55,629d0f677316fa52d753d232,2022-06-07T15:04:09.436Z,walk-run
629f6994f520a5786df73260,8.4,0,10,7,1680,1,25,0,629ca6697316fa52d753b3b6,2022-06-07T15:07:00.959Z,walk-run
629f6a43f520a5786df732c2,0.75,0,34,48,150,0,27,54,629782eb7316fa52d7533d6f,2022-06-07T15:09:55.612Z,walk-run
629f6b3bf520a5786df73328,0.55,0,45,27,110,0,25,0,629f3216b99ec9543c40b9bd,2022-06-07T15:14:03.810Z,walk-run
629f6c29f520a5786df7334c,2.23,0,32,36,446,5,38,1,629ed3c27316fa52d754320d,2022-06-07T15:18:01.904Z,walk-run
629f6cb0f520a5786df73381,1.96,0,29,43,392,0,56,30,629d22d27316fa52d753da9a,2022-06-07T15:20:16.985Z,walk-run
629f6ceaf520a5786df73416,1.2,0,32,25,240,0,41,32,629cd1447316fa52d753be08,2022-06-07T15:21:14.872Z,walk-run
629f6cedf520a5786df73422,0,0,0,0,0,0,0,4,629f6c98f520a5786df7336c,2022-06-07T15:21:17.497Z,walk-run
629f6cf1f520a5786df73432,0,0,0,0,0,0,0,1,629797627316fa52d75340d5,2022-06-07T15:21:21.982Z,walk-run
629f6cf9f520a5786df7345c,0,0,0,0,0,0,0,2,629797627316fa52d75340d5,2022-06-07T15:21:29.634Z,walk-run
629f6d01f520a5786df73485,0,0,0,0,0,0,0,1,629797627316fa52d75340d5,2022-06-07T15:21:37.986Z,walk-run
629f6d0ef520a5786df734be,0,0,0,0,0,0,0,1,629797627316fa52d75340d5,2022-06-07T15:21:50.111Z,walk-run
629f6d50f520a5786df73564,10.21,0,17,54,2042,2,52,28,629cf5627316fa52d753c765,2022-06-07T15:22:56.590Z,walk-run
629f6dcbf520a5786df735f4,0,0,0,0,0,0,0,51,629d1ee27316fa52d753d8d3,2022-06-07T15:24:59.227Z,walk-run
629f6e01f520a5786df73611,9.74,0,14,3,1948,2,17,50,62911a227316fa52d752b30e,2022-06-07T15:25:53.138Z,walk-run
629f6ebdf520a5786df7364c,0.02,0,49,25,4,0,3,49,629d0f677316fa52d753d232,2022-06-07T15:29:01.154Z,walk-run
629f6f57f520a5786df73690,0,0,0,0,0,0,0,4,629dc4397316fa52d753f120,2022-06-07T15:31:35.922Z,walk-run
629f6f61f520a5786df736a6,0.51,0,29,24,102,0,14,56,620399d32dea01e03f6641ce,2022-06-07T15:31:45.560Z,walk-run
629f6f64f520a5786df736be,0,0,0,0,0,0,0,4,629dc4397316fa52d753f120,2022-06-07T15:31:48.100Z,walk-run
629f6fc2f520a5786df736ff,0,0,0,0,0,0,0,5,629779ce7316fa52d7533c12,2022-06-07T15:33:22.084Z,walk-run
629f70def520a5786df73742,0.37,0,34,57,74,0,57,1,629f3aa9b99ec9543c40bd61,2022-06-07T15:38:06.462Z,walk-run
629f7105f520a5786df73762,0.84,0,20,36,168,0,16,41,629cd0977316fa52d753bd80,2022-06-07T15:38:45.271Z,walk-run
629f720df520a5786df737e8,0,0,0,0,0,0,0,58,629f3758b99ec9543c40bb66,2022-06-07T15:43:09.135Z,walk-run
629f7221f520a5786df737fc,0,0,0,0,0,0,0,1,629f3758b99ec9543c40bb66,2022-06-07T15:43:29.252Z,walk-run
629f728af520a5786df7382c,3.36,0,12,60,672,0,40,27,627c19f8d34af571d8aca015,2022-06-07T15:45:14.627Z,walk-run
629f7297f520a5786df7383a,1.08,0,23,32,216,0,24,31,627e526fd34af571d8aca69e,2022-06-07T15:45:27.441Z,walk-run
629f72c1f520a5786df7385c,0,0,0,0,0,0,0,17,627e526fd34af571d8aca69e,2022-06-07T15:46:09.737Z,walk-run
629f73aaf520a5786df738ab,0.84,0,23,13,168,0,19,34,629cbd7e7316fa52d753b6bc,2022-06-07T15:50:02.521Z,walk-run
629f73e2f520a5786df738bd,0,0,0,0,0,0,1,31,629e3b197316fa52d7541423,2022-06-07T15:50:58.881Z,walk-run
629f73e6f520a5786df738ca,2.57,0,8,15,514,2,55,43,6284843cd34af571d8acc242,2022-06-07T15:51:02.739Z,walk-run
629f73fef520a5786df738e7,8.5,0,9,42,1700,1,14,7,6293559b7316fa52d752e104,2022-06-07T15:51:26.837Z,walk-run
629f742af520a5786df738fd,7.38,0,13,40,1476,1,33,30,629d17a07316fa52d753d6ab,2022-06-07T15:52:10.824Z,walk-run
629f744df520a5786df73912,3.63,0,14,12,726,0,51,37,6294beb47316fa52d752fe77,2022-06-07T15:52:45.172Z,walk-run
629f7502f520a5786df73947,5.55,0,21,46,1110,1,55,16,628fdb497352b8e67bcc3e51,2022-06-07T15:55:46.653Z,walk-run
629f75a0f520a5786df73979,6.27,0,8,50,1254,0,49,12,629efd557316fa52d7543a85,2022-06-07T15:58:24.589Z,walk-run
629f762af520a5786df739ae,0,0,0,0,0,0,0,22,629c3fee7316fa52d753a609,2022-06-07T16:00:42.808Z,walk-run
629f76a5f520a5786df739e6,0.21,0,7,29,42,0,1,38,629c3fee7316fa52d753a609,2022-06-07T16:02:45.676Z,walk-run
629f76d0f520a5786df739f8,0.03,0,50,55,6,0,1,29,629cbd7e7316fa52d753b6bc,2022-06-07T16:03:29.001Z,walk-run
629f7701f520a5786df73a13,0.18,0,6,54,36,0,1,10,629c3fee7316fa52d753a609,2022-06-07T16:04:17.590Z,walk-run
629f7742f520a5786df73a31,0,0,0,0,0,0,0,2,629c3fee7316fa52d753a609,2022-06-07T16:05:22.500Z,walk-run
629f7764f520a5786df73a4a,0.42,0,17,33,84,0,6,56,629d0f677316fa52d753d232,2022-06-07T16:05:56.133Z,walk-run
629f7798f520a5786df73a5f,5.03,0,6,39,1006,0,28,32,629ccddb7316fa52d753bbfd,2022-06-07T16:06:48.425Z,walk-run
